time,battery_level
2024-01-03 12:00:52.164193080+00:00,19.4
2024-01-03 12:12:45.903672380+00:00,20.4
2024-01-03 12:24:40.353163763+00:00,17.4
2024-01-03 12:36:34.297042690+00:00,14.4
2024-01-03 12:48:28.101467981+00:00,15.4
2024-01-03 13:00:22.540275971+00:00,15.4
2024-01-03 13:12:16.425397744+00:00,18.4
2024-01-03 13:24:10.052896959+00:00,18.4
2024-01-03 13:36:03.381137741+00:00,16.4
2024-01-03 13:47:57.010246626+00:00,19.4
2024-01-03 13:59:50.919355348+00:00,17.4
2024-01-03 14:11:44.892011418+00:00,14.4
2024-01-03 14:23:37.706644313+00:00,15.4
2024-01-03 14:35:31.645231509+00:00,16.4
2024-01-03 14:47:25.373979263+00:00,16.4
2024-01-03 14:59:19.313822528+00:00,14.4
2024-01-03 15:11:12.948157935+00:00,15.4
2024-01-03 15:23:07.400940448+00:00,15.4
2024-01-03 15:35:00.315141206+00:00,17.4
2024-01-03 15:46:54.663219047+00:00,14.4
2024-01-03 15:58:47.580418682+00:00,16.4
2024-01-03 16:10:41.317403620+00:00,14.4
2024-01-03 16:22:34.743020948+00:00,18.4
2024-01-03 16:34:28.066164370+00:00,18.4
2024-01-03 16:46:23.029881954+00:00,14.4
2024-01-03 16:58:16.459045393+00:00,18.4
2024-01-03 17:10:10.399098321+00:00,14.4
2024-01-03 17:22:05.164706005+00:00,18.4
2024-01-03 17:33:58.788964925+00:00,14.4
2024-01-03 17:45:51.550726494+00:00,17.4
2024-01-03 17:57:44.829373004+00:00,14.4
2024-01-03 18:09:38.458734924+00:00,18.4
2024-01-03 18:21:32.295147027+00:00,13.4
2024-01-03 18:33:26.232816808+00:00,17.4
2024-01-03 18:45:19.975718117+00:00,17.4
2024-01-03 18:57:13.814764429+00:00,14.4
2024-01-03 19:09:08.360426601+00:00,14.4
2024-01-03 19:21:02.510356460+00:00,18.4
2024-01-03 19:32:57.449641732+00:00,16.4
2024-01-03 19:44:50.383601873+00:00,14.4
2024-01-03 19:56:43.407275576+00:00,18.4
2024-01-03 20:08:38.067105254+00:00,14.4
2024-01-03 20:20:31.075348124+00:00,14.4
2024-01-03 20:32:25.686910497+00:00,16.4
2024-01-03 20:44:17.992030905+00:00,17.4
2024-01-03 20:56:11.361350771+00:00,15.4
2024-01-03 21:08:04.388729319+00:00,15.4
2024-01-03 21:19:58.725074994+00:00,13.4
2024-01-03 21:31:52.360371766+00:00,16.4
2024-01-03 21:43:46.196476429+00:00,14.4
2024-01-03 21:55:39.942574214+00:00,14.4
2024-01-03 22:07:34.023951612+00:00,13.4
2024-01-03 22:19:27.608812199+00:00,17.4
2024-01-03 22:31:21.652981651+00:00,13.4
2024-01-03 22:43:14.665461677+00:00,13.4
